connection_id,from_var,to_var,relationship,description,from_type,to_type,citation_title,citation_authors,citation_year,citation_relevance,semantic_scholar_url,semantic_scholar_paper_id,citation_count,abstract,venue,fields_of_study
C01,Adoption Rate,User Base,undeclared,New users adopting the software increase the total user base.,Flow,Stock,No verified citation found,No verified citation found,,,,,,,,
C02,User Churn Rate,User Base,undeclared,Users leaving the project decrease the total user base.,Flow,Stock,No verified citation found,No verified citation found,,,,,,,,
C03,Reputation Building,Project Reputation,undeclared,Positive project activities and outcomes build up the project's reputation.,Flow,Stock,No verified citation found,No verified citation found,,,,,,,,
C04,Reputation Decline,Project Reputation,undeclared,Negative events or stagnation cause the project's reputation to decline.,Flow,Stock,No verified citation found,No verified citation found,,,,,,,,
C05,Software Quality and Features,Project Reputation,positive,Higher software quality and more features enhance the project's reputation.,Auxiliary,Stock,No verified citation found,No verified citation found,,,,,,,,
C06,User Base,Project Reputation,undeclared,"A larger user base provides more feedback and visibility, influencing reputation.",Stock,Stock,No verified citation found,No verified citation found,,,,,,,,
C07,Trust Building,Community Health,undeclared,Positive interactions and collaboration build a healthier community.,Flow,Stock,No verified citation found,No verified citation found,,,,,,,,
C08,Culture Erosion,Community Health,undeclared,Conflict and burnout erode the health and cohesion of the community.,Flow,Stock,No verified citation found,No verified citation found,,,,,,,,
C09,Developer's Turnover,Core Developer,undeclared,Developers leaving the project reduce the number of core developers.,Flow,Stock,No verified citation found,No verified citation found,,,,,,,,
C10,New Pr rate,New Pull request,undeclared,New pull requests being submitted increase the stock of new pull requests.,Flow,Stock,No verified citation found,No verified citation found,,,,,,,,
C11,Review Rate,New Pull request,undeclared,Initiating a review moves a pull request from 'new' to 'under review'.,Flow,Stock,No verified citation found,No verified citation found,,,,,,,,
C12,Review Rate,Pull Request Under review,undeclared,Starting a review increases the number of pull requests under review.,Flow,Stock,No verified citation found,No verified citation found,,,,,,,,
C13,Merge/Commit,Pull Request Under review,undeclared,Merging or committing code removes a pull request from the review queue.,Flow,Stock,No verified citation found,No verified citation found,,,,,,,,
